room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10613709,28828220,Private room,,Freemans Bay,3,5.0,2,1.0,75.0,1.0,-36.848435,174.751801,2016-08-19 18:54:13.909410
4538740,23534471,Private room,,Freemans Bay,5,5.0,2,1.0,60.0,1.0,-36.852556,174.747955,2016-08-19 18:26:50.989357
6515997,34072511,Private room,,Ponsonby East,12,4.5,1,1.0,59.0,1.0,-36.854174,174.742818,2016-08-19 18:37:21.333077
1004333,5524166,Private room,,Grey Lynn West,10,5.0,2,1.0,82.0,3.0,-36.86167,174.735259,2016-08-19 18:45:51.084968
3775773,3145837,Private room,,Ponsonby East,2,,2,1.0,64.0,2.0,-36.851713,174.743811,2016-08-19 18:40:46.589229
13620643,32271021,Private room,,Grey Lynn West,0,,2,1.0,37.0,1.0,-36.858943,174.731331,2016-08-19 19:26:27.880705
10168335,51287787,Private room,,Surrey Crescent,1,,2,1.0,82.0,1.0,-36.859225,174.728892,2016-08-19 19:03:35.932966
896617,4781497,Private room,,Chelsea,76,5.0,2,1.0,57.0,2.0,-36.81531,174.716608,2016-08-19 18:19:15.511936
5309818,6019871,Private room,,Westmere,0,,2,1.0,53.0,1.0,-36.854799,174.727334,2016-08-19 18:32:08.763178
8956553,46811541,Private room,,Westmere,2,,2,1.0,37.0,7.0,-36.853869,174.727955,2016-08-19 18:17:50.830152
11183167,58201502,Private room,,Grey Lynn East,0,,2,1.0,45.0,1.0,-36.858175,174.742423,2016-08-19 19:17:11.117482
413787,2058660,Private room,,Kauri Park,0,,4,1.0,142.0,1.0,-36.813372,174.707071,2016-08-19 18:40:06.556231
9189384,18364233,Private room,,Ponsonby East,2,,2,1.0,101.0,2.0,-36.855624,174.742729,2016-08-19 18:46:45.777076
11611178,25569855,Private room,,Freemans Bay,4,4.5,2,1.0,64.0,1.0,-36.851963,174.748803,2016-08-19 19:18:24.582838
4577870,23730974,Private room,,Grey Lynn East,0,,1,1.0,39.0,7.0,-36.86149,174.749331,2016-08-19 18:36:14.714996
13249163,43789866,Private room,,Grey Lynn West,0,,2,1.0,23.0,1.0,-36.859927,174.737584,2016-08-19 19:22:12.681394
200853,265615,Private room,,Freemans Bay,57,4.5,4,1.0,82.0,1.0,-36.853817,174.747286,2016-08-19 19:06:49.489457
12327408,21618844,Private room,,Ponsonby East,6,4.5,2,1.0,46.0,1.0,-36.850609,174.74311,2016-08-19 18:52:55.014870
4803233,24745145,Private room,,St Marys,0,,3,1.0,57.0,1.0,-36.840318,174.739837,2016-08-19 18:40:11.497686
10058564,14074685,Private room,,Grey Lynn East,2,,4,1.0,135.0,2.0,-36.862304,174.746589,2016-08-19 18:23:47.849239
7376040,33708157,Private room,,Arch Hill,28,4.5,2,1.0,60.0,2.0,-36.862464,174.753153,2016-08-19 18:41:53.719011
4317686,10086789,Private room,,Grey Lynn West,9,5.0,2,1.0,61.0,2.0,-36.856987,174.731601,2016-08-19 18:28:09.522536
